gene,log2FoldChange,padj
IFT140,0.30,0.2127
ALCAM,-0.28,0.1008
TPM3,-0.11,0.3779
SNRPA1,-0.13,0.3175
TPM1,0.34,0.0843
ETF1,-0.09,0.5844
THYN1,0.15,0.3259
CLIC4,-0.30,0.1967
DPAGT1,-0.05,0.7977
CLIC2,-0.32,0.1680
MTMR12,0.02,0.9285
LRSAM1,-0.15,0.4769
CLIC1,0.04,0.6584
TPMT,-0.56,0.0022
SNRNP40,-0.08,0.5804
TMEM141,0.07,0.6630
RAB10,-0.23,0.1594
RPS4X,-0.09,0.5125
API5,-0.12,0.5516
YOD1,-0.24,0.3168
MFN2,-0.17,0.3264
TCP1,-0.02,0.9033
BABAM1,0.12,0.3144
ISY1,-0.27,0.0593
PRDX6,0.10,0.3696
PRDX5,0.11,0.3880
PRDX3,-0.42,0.0000
PRDX2,0.29,0.0111
PRDX1,0.11,0.4181
NFYB,-0.45,0.0120
CLGN,-0.60,0.0055
AP3S1,-0.37,0.0443
SMARCA2,-0.14,0.4631
OTUB1,0.17,0.0930
RABL3,-0.34,0.0320
FYB,-0.64,0.0012
C16orf70,0.06,0.7580
ZNF8,-0.03,0.9084
CSTB,0.19,0.3627
CDC5L,-0.09,0.5008
RAC2,0.07,0.5506
SBDS,0.00,0.9842
CROCC,0.53,0.0214
U2SURP,-0.46,0.0007
VCP,0.14,0.2670
AP2A2,0.35,0.1527
TANK,-0.35,0.0707
VASP,0.03,0.8641
PAPOLA,-0.39,0.0010
SPAST,0.14,0.4976
NSUN2,0.00,0.9854
CEP135,-0.09,0.7031
DCAF7,-0.01,0.9169
CANT1,0.45,0.0770
BCKDHA,0.15,0.2071
TARS,-0.10,0.4590
TIMM44,-0.21,0.2856
TUFM,0.16,0.2338
SND1,0.14,0.2966
CD34,0.26,0.1139
ERGIC3,0.18,0.2093
CD36,-0.04,0.8487
ERGIC1,0.03,0.8298
TXNDC9,-0.31,0.1080
POLR3E,0.26,0.0666
POLR3B,0.20,0.3696
POLR3C,-0.20,0.0851
CPPED1,0.24,0.1646
GPS1,-0.05,0.6757
UNK,0.16,0.4649
SPG21,0.44,0.0031
SPG20,-0.05,0.7803
ACSM3,0.10,0.5746
GSDMD,0.28,0.0563
GLO1,-0.34,0.0391
WDR61,-0.06,0.6537
CUL1,0.15,0.4698
CUL2,-0.23,0.2319
PNKP,0.67,0.0000
HMGCL,-0.11,0.5378
SLC25A1,0.30,0.0363
PRMT1,0.17,0.1371
CLCN7,0.43,0.0018
TRIM21,-0.16,0.4445
SLC25A5,-0.03,0.7963
PRMT5,0.29,0.0606
PNKD,0.37,0.0184
GNPAT,-0.35,0.0640
BRD4,0.19,0.3694
COIL,-0.05,0.7622
MTPAP,0.03,0.8837
BRD1,0.17,0.3800
SLC15A4,-0.31,0.2213
DNAJA2,-0.31,0.0704
DNAJA3,0.12,0.5254
RBM42,0.04,0.7818
DNAJA1,0.19,0.1808
PTPN11,-0.30,0.0289
ARCN1,0.08,0.6727
TTC19,0.14,0.3950
MRPL21,-0.20,0.3004
SEH1L,-0.58,0.0037
GBA,0.26,0.0836
GAPDH,0.09,0.4243
C4orf27,-0.44,0.0062
LAIR1,0.13,0.3625
RICTOR,-0.29,0.1385
ARHGAP1,-0.13,0.4280
THEM6,0.49,0.0114
IARS2,-0.18,0.1301
SRSF6,-0.20,0.2624
USP48,-0.01,0.9487
SRSF3,-0.02,0.8980
USP47,-0.16,0.3325
ANXA11,0.12,0.3639
NSMCE1,0.16,0.2566
CISD1,-0.06,0.6895
CLNS1A,0.03,0.7713
UMPS,-0.08,0.5837
GID8,-0.05,0.7421
HEMGN,-0.22,0.3134
MRPL3,-0.08,0.6327
MRPL1,-0.14,0.4413
SCRN2,0.44,0.0191
SCRN1,-0.15,0.4603
PTPN7,-0.04,0.8045
ACAD8,0.39,0.0758
ACAD9,-0.16,0.3805
LRCH3,0.14,0.5691
NRF1,-0.36,0.0504
HMOX2,-0.09,0.5105
PTDSS1,-0.22,0.0817
BAG5,-0.34,0.0307
CTDP1,0.54,0.0081
RPS7,0.10,0.4966
RPS5,0.35,0.0103
ARRB2,-0.03,0.8727
RPS2,0.03,0.8676
ARRB1,0.21,0.1927
VDAC3,-0.01,0.9137
VDAC2,-0.25,0.0626
VDAC1,-0.33,0.0244
CHMP7,0.04,0.8184
NEK9,0.09,0.6146
RPS9,0.35,0.0085
CTPS2,-0.33,0.1023
DHX57,0.02,0.9153
UTP11L,-0.20,0.2825
PSMA2,-0.29,0.0070
AKAP8L,0.27,0.1946
PSMA1,-0.37,0.0010
PSMA4,-0.26,0.0516
RABGAP1,0.17,0.4639
FAM160B1,-0.28,0.1013
DSG1,,
PNPT1,0.00,1.0000
FBXO45,0.19,0.3861
CPSF3L,0.03,0.7839
COL4A3BP,-0.07,0.6880
SRI,-0.03,0.8282
SRM,0.57,0.0111
SORD,0.12,0.4662
LGALS9,0.27,0.0915
PRKAA1,-0.02,0.9254
ATXN10,-0.11,0.3495
FSCN1,0.37,0.0931
NUP54,-0.19,0.2386
EIF2AK4,-0.05,0.7510
TAPBP,0.03,0.8209
PISD,0.49,0.0002
TRNT1,-0.16,0.3928
KIAA1211,-0.10,0.6702
CAMK1D,0.49,0.0510
VARS,0.44,0.0047
ATAD1,-0.31,0.0908
PEX19,-0.04,0.8186
KIAA1033,-0.30,0.1310
FMR1,-0.12,0.6310
ALDH1A1,0.52,0.0081
GCDH,0.22,0.1637
AP3B1,-0.02,0.9163
RPL28,0.44,0.0029
PCYOX1,-0.01,0.9707
RPL24,0.07,0.6481
RPL27,0.07,0.6046
NAP1L4,0.10,0.4213
RPL23,0.09,0.5697
EMC8,-0.17,0.2832
LPCAT2,0.18,0.3134
ATG7,-0.05,0.7667
SPINK2,0.23,0.2319
APMAP,0.14,0.2911
GIT2,0.03,0.8104
PIGK,-0.53,0.0148
PIGS,0.13,0.3456
PIGT,0.02,0.8718
ASAH1,-0.16,0.2144
ANKLE2,0.48,0.0025
PPP1CB,-0.54,0.0076
ATXN3,-0.46,0.0192
PDK3,-0.07,0.5911
RDH11,0.38,0.0438
WBP2,0.14,0.2395
SEC61A1,0.02,0.7994
PTGS1,0.53,0.0180
ZFAND1,-0.24,0.1079
PFKP,0.02,0.9026
TARSL2,0.01,0.9686
CANX,-0.38,0.0001
RBPJ,-0.21,0.1836
PFKM,0.03,0.8462
RSBN1,-0.05,0.7091
HSP90AB1,0.01,0.9291
SMAD4,-0.38,0.0375
URI1,-0.32,0.1138
MTX1,0.29,0.1365
MRPS2,0.15,0.2003
MYSM1,-0.15,0.4488
ATG2A,0.35,0.1071
UBR5,-0.20,0.2846
UBR4,0.29,0.0986
MLYCD,-0.05,0.8396
WDR55,-0.35,0.1222
TWF2,0.10,0.4425
SRPR,0.14,0.2154
ACYP2,-0.15,0.5606
EEF1G,0.17,0.1865
ACSL1,0.20,0.2192
ACSL4,-0.32,0.0675
MAF1,0.17,0.2155
UQCC1,-0.21,0.1648
RPL8,0.14,0.2391
RPL9,0.43,0.0245
RPL6,-0.07,0.6203
RPL7,-0.03,0.8563
RPL4,0.11,0.3548
RPL5,0.01,0.9484
TBRG4,0.47,0.0004
CD151,0.06,0.7755
FEN1,0.01,0.9316
SSU72,0.12,0.3619
ATP5C1,-0.20,0.1050
CHD3,0.08,0.6985
CHD2,-0.08,0.6185
ABHD10,-0.37,0.0281
CAP1,-0.38,0.0017
NPC1,-0.49,0.0444
SKIV2L,0.24,0.1571
FN3K,0.08,0.7521
INTS9,-0.02,0.9025
TTC4,0.11,0.6823
RAB3GAP2,-0.23,0.2368
MRPL15,0.17,0.2889
RAB3GAP1,-0.07,0.7126
MRPL18,-0.24,0.0743
ARPC2,-0.25,0.0419
DNAJC30,0.16,0.4086
ARPC5,-0.69,0.0001
ANKRD27,0.45,0.0054
POLR2A,0.04,0.7719
DYNC1LI1,-0.18,0.2860
DYNC1LI2,0.15,0.5045
ITPR2,0.02,0.9174
CAPG,-0.22,0.1724
RHOG,0.22,0.1049
POLR2H,0.24,0.0691
ETHE1,0.06,0.7421
MPG,0.20,0.2155
TMEM65,-0.53,0.0356
USMG5,-0.29,0.0660
CPT1A,0.09,0.6206
SNCA,0.11,0.4827
ASCC3,-0.65,0.0001
LMAN1,-0.40,0.0028
ASCC1,0.19,0.4512
AIFM1,0.11,0.5116
AGO1,-0.19,0.4110
AGO2,0.43,0.0750
KDM1A,-0.02,0.9175
MAPK14,-0.15,0.4510
PRKCQ,0.49,0.0050
PAXBP1,-0.31,0.0518
ZNF629,0.21,0.3355
OGFOD2,0.31,0.0527
NFKB2,0.56,0.0344
PDXK,0.11,0.5884
PSME4,0.09,0.6756
RAP2B,0.02,0.9062
DDX23,0.10,0.4239
RASSF2,-0.30,0.1162
NSA2,-0.16,0.4003
GGA1,0.23,0.1244
CLPTM1L,-0.24,0.3291
ADO,-0.18,0.4002
TGFBRAP1,0.19,0.2797
FHOD1,-0.13,0.5844
ADH5,-0.09,0.5042
TACC1,-0.36,0.0338
VIPAS39,-0.26,0.1029
TACC3,0.19,0.1051
CARM1,-0.02,0.9353
DEK,-0.38,0.0081
PSMB9,-0.05,0.7708
PRKACB,-0.35,0.0310
NHP2,0.01,0.9332
PSMB5,0.09,0.4203
PSMB4,0.13,0.2677
PSMB3,-0.09,0.3830
PSMB2,-0.07,0.5240
PSMB1,-0.01,0.9469
SPG7,0.43,0.0075
ANKHD1,-0.66,0.0117
CORO7,0.01,0.9640
BCL2L13,-0.25,0.1320
HADHB,0.03,0.8022
HADHA,0.00,0.9651
GSTP1,0.16,0.2701
ACOT13,0.17,0.3392
ADRM1,0.09,0.4265
VPS13C,-0.15,0.3715
RMDN3,0.19,0.2451
PGRMC1,-0.21,0.3133
RMDN1,-0.12,0.3767
GTF2H1,-0.21,0.2133
ESD,-0.25,0.0737
PDCD10,-0.18,0.3089
ALDH1B1,0.33,0.0745
EVI2B,-0.59,0.0001
COX7A2L,-0.18,0.1553
