gene,log2FoldChange,padj
RIPK1,0.24,0.2823
AIF1L,0.23,0.3126
GALK2,0.01,0.9458
GSTM3,0.65,0.0115
FARSB,-0.39,0.0466
FARSA,0.10,0.4039
FIS1,0.27,0.0230
BLMH,-0.42,0.0150
PIP4K2B,0.06,0.7042
PDCL,-0.33,0.1380
GNS,-0.03,0.7952
COLGALT1,-0.11,0.5625
CUTC,-0.05,0.7066
TTF2,-0.10,0.6303
EIF5,0.02,0.9059
LTA4H,-0.04,0.7835
DAD1,0.12,0.3895
SPTBN1,-0.14,0.3977
PAN2,0.12,0.5476
CBR1,0.26,0.2056
CBR3,0.04,0.8911
TLN1,0.31,0.0929
DPP8,0.08,0.7144
DPP9,0.37,0.0230
POLE4,0.19,0.2971
GBE1,0.12,0.5383
DPP3,0.31,0.1364
NT5C2,-0.15,0.3522
DPP7,0.28,0.0893
ANXA1,-0.09,0.6220
SLC44A1,0.00,0.9988
ANXA3,-0.30,0.2780
ANXA5,-0.12,0.5924
ANXA4,0.17,0.1869
ANXA7,0.12,0.3667
ANXA6,-0.13,0.4154
DFFA,0.20,0.2273
MCM4,-0.10,0.5426
PCNT,0.25,0.1563
GPD1L,-0.46,0.0133
HPGDS,-0.13,0.4601
ENGASE,-0.05,0.8421
DNPH1,0.41,0.0030
RPA1,-0.07,0.6545
RPA2,0.02,0.8783
NDUFS1,0.31,0.1653
NDUFS2,0.07,0.4803
NDUFS3,0.20,0.0248
COQ5,0.10,0.6247
PALM,-0.17,0.5228
AHCY,0.09,0.4472
ILF3,0.10,0.3831
ILF2,-0.14,0.1688
EPX,-0.03,0.8934
ZRANB2,-0.36,0.0128
HBD,-0.01,0.9547
HBB,-0.34,0.1365
CHMP2B,0.16,0.2985
CHMP2A,0.00,0.9753
DHX16,-0.08,0.6518
HIBADH,0.08,0.7282
NHLRC2,-0.26,0.2017
ZNF143,-0.17,0.3961
MUM1,0.41,0.0255
BCS1L,0.08,0.6498
PPT1,-0.08,0.6208
CPT2,0.23,0.1876
DDX31,-0.45,0.0684
LYZ,-0.77,0.0009
NDUFB10,0.21,0.1404
GSE1,0.14,0.4016
MICAL1,0.13,0.5432
PYGB,0.17,0.2708
ZNF787,-0.04,0.8752
PITRM1,-0.04,0.8161
GOT2,0.01,0.9086
LYN,0.30,0.0403
GOT1,0.09,0.6902
PYGL,-0.15,0.3843
RNASE3,-0.29,0.0878
SOD2,-0.10,0.5211
SOD1,0.02,0.8757
RANGAP1,-0.03,0.8585
LSG1,-0.23,0.2133
MGMT,0.02,0.9278
PMS2,0.08,0.7175
VPS13A,-0.25,0.1926
H2AFY,0.06,0.6440
ZADH2,0.01,0.9759
NIPSNAP3A,-0.16,0.2740
DDX5,-0.08,0.6186
DDX6,-0.16,0.2007
BRMS1,0.27,0.0602
DDX1,0.03,0.8205
NUP205,-0.14,0.4328
NIT2,0.07,0.6387
NIT1,0.12,0.3787
FOXK1,-0.18,0.4220
HLA-B,0.33,0.0383
CLTC,-0.43,0.0022
MIS12,0.17,0.4095
ARID4B,-0.13,0.4439
NGLY1,-0.26,0.0293
ADRBK1,0.02,0.8876
PGRMC2,-0.71,0.0011
TP53RK,-0.02,0.8852
NMD3,-0.14,0.4866
UBE3C,0.17,0.2159
UBE3A,-0.12,0.4753
HAUS3,0.18,0.5084
UBXN7,-0.32,0.0560
UBXN1,0.11,0.3218
NACA,0.00,0.9913
NXF1,0.12,0.4258
SDAD1,-0.56,0.0002
ISCA2,-0.13,0.3956
PGM5,0.63,0.0216
FAF2,0.15,0.4114
PGM1,-0.30,0.0521
PGM2,0.05,0.8295
PGM3,-0.10,0.6505
ABCB10,-0.17,0.4387
RECQL,0.02,0.9211
SART3,-0.05,0.7127
SART1,0.28,0.1146
CMSS1,-0.01,0.9337
SEC23A,-0.25,0.2132
SEC23B,0.05,0.7244
VAV1,0.33,0.0817
GLOD4,-0.06,0.6245
CDC23,-0.12,0.5095
RBPMS,0.18,0.4238
XPNPEP1,0.13,0.4069
HTT,0.37,0.0616
PIK3R4,0.22,0.2352
NUP155,-0.20,0.2607
IPO7,-0.36,0.0479
IPO4,0.24,0.2117
ACTR3,-0.24,0.1434
DTX3L,0.01,0.9794
WBSCR22,0.15,0.3761
ARRDC1,0.27,0.0187
FYTTD1,-0.11,0.3114
CWF19L1,-0.27,0.1703
RAB8B,-0.17,0.4179
TNPO3,0.32,0.0420
NAA25,0.18,0.2334
POLDIP2,0.08,0.5159
TECR,0.10,0.4444
SYVN1,-0.02,0.8974
MAPK3,0.07,0.7628
MAPK1,-0.08,0.6262
PPP1R12A,-0.36,0.0010
WRN,-0.16,0.4157
ALDH18A1,0.25,0.0992
DUSP3,0.27,0.0620
WTAP,-0.13,0.3938
GABPB1,-0.14,0.4477
SHPK,0.03,0.9109
OTULIN,-0.21,0.2972
TOMM70A,-0.22,0.1372
KHDRBS3,0.25,0.3561
IDUA,0.36,0.1019
VPS35,-0.24,0.0974
VPS36,-0.20,0.1370
SYNGR1,0.28,0.0132
WDR91,0.53,0.0067
SYNGR2,0.23,0.0592
STAT5A,0.14,0.3684
DPM1,-0.48,0.0027
CSE1L,-0.32,0.0240
TOR4A,0.40,0.1337
FBL,0.04,0.7721
NUMA1,0.32,0.0708
NDUFA4,-0.24,0.0658
ADAM10,-0.67,0.0005
HSPA1A,0.51,0.0250
IKBKAP,-0.08,0.5054
CACTIN,0.17,0.5245
SERPINA1,0.43,0.1151
CPNE3,-0.08,0.6504
PLOD3,0.22,0.2103
CPNE1,0.32,0.0208
PLOD1,0.60,0.0092
C5orf24,-0.10,0.5621
DNASE2,0.11,0.6517
FOXRED1,0.27,0.0983
C9orf64,-0.19,0.4130
DGKA,0.09,0.6156
GNA13,-0.65,0.0002
ESF1,-0.25,0.0974
CNP,-0.04,0.7862
RAD21,-0.37,0.0033
RABEPK,0.08,0.5551
USP13,0.07,0.7455
ALDH6A1,0.17,0.4073
USP14,-0.27,0.1229
SNRPA,-0.06,0.6717
PACS1,-0.26,0.2040
NPM3,0.24,0.1250
SNRPE,0.12,0.5863
SBNO1,-0.04,0.7618
BRAP,0.38,0.0899
HSPA14,-0.17,0.3018
UNC45A,0.44,0.0326
SCFD1,-0.48,0.0063
SCFD2,0.23,0.1267
PRKAG1,-0.18,0.2279
MEN1,0.62,0.0003
AP5S1,0.21,0.2903
VPS8,0.03,0.8662
ANP32A,-0.29,0.0355
TYK2,0.24,0.0812
DUSP23,0.22,0.1081
GMEB1,-0.28,0.1890
SQRDL,0.25,0.3160
SUPT5H,-0.05,0.7262
RPF2,-0.12,0.5007
CTAGE5,-0.17,0.2567
NAPG,-0.47,0.0311
PRIM1,-0.27,0.0851
PRIM2,0.16,0.4419
LARP7,-0.40,0.0142
SCCPDH,-0.24,0.0791
FXR1,-0.20,0.1976
CNDP2,0.14,0.3695
PTER,-0.45,0.0068
DDX47,-0.36,0.0176
DDX46,-0.01,0.9391
POP1,-0.20,0.4459
KLC4,0.14,0.4910
STK38L,-0.29,0.1644
TSN,-0.35,0.0285
LSM14A,-0.21,0.0416
PDS5B,-0.13,0.5663
MYO18A,0.20,0.2801
PRG2,0.04,0.8294
TSTD1,0.26,0.1179
TST,0.60,0.0006
SAP130,-0.14,0.2685
HSCB,-0.04,0.8578
CHCHD3,0.13,0.4747
APOD,-0.13,0.3253
CHCHD6,0.05,0.8203
NR2C2AP,0.43,0.0700
PAICS,-0.16,0.1219
ZNF512,0.02,0.8918
VTA1,-0.15,0.2300
GPAA1,0.31,0.0195
TSPYL5,0.07,0.7676
CCDC58,0.33,0.1149
CCDC59,-0.17,0.3087
PAXIP1,0.45,0.0439
SDF4,0.38,0.0141
BNIP1,0.16,0.3534
RHEB,-0.36,0.0035
SLC35B2,0.12,0.4179
USE1,0.17,0.3447
EMC2,-0.30,0.1902
EMC1,0.17,0.3843
CNRIP1,0.20,0.3991
ATXN2,0.16,0.2763
EMC6,0.37,0.0279
EPDR1,0.07,0.6574
MYH10,0.36,0.0340
PPP2R1A,0.09,0.3941
PELP1,0.34,0.0682
MBOAT7,0.26,0.0576
COL2A1,-0.13,
HINT1,0.07,0.6486
HTRA2,0.14,0.3751
SDPR,0.41,0.0906
NEDD1,-0.13,0.5999
SMC3,-0.55,0.0000
NEDD4,0.14,0.5349
SMC6,-0.52,0.0022
S100A9,-0.29,0.2860
S100A4,0.03,0.8711
S100A6,0.23,0.1444
CPOX,0.04,0.8814
GRIPAP1,-0.02,0.9051
LASP1,-0.02,0.8946
TMEM63A,0.35,0.0689
IMPACT,-0.28,0.1918
MICALL1,-0.31,0.2428
PGLS,0.14,0.2837
BANF1,0.12,0.2859
RBM7,-0.15,0.3385
MORC3,-0.32,0.0783
RPL23A,-0.09,0.5464
ZMYND11,-0.29,0.0987
ALOX5AP,-0.81,0.0000
WDR81,-0.14,0.4819
AP1S2,-0.24,0.2044
GYG1,0.08,0.6338
WDR89,-0.17,0.3816
CAD,0.37,0.0097
PGD,0.19,0.0536
ATP13A1,0.17,0.3513
VPS28,0.30,0.0371
VPS29,-0.34,0.0128
ESYT1,0.05,0.7244
ESYT2,-0.35,0.0560
PEA15,0.06,0.7318
PRKRA,-0.64,0.0003
COA4,0.14,0.3177
COA7,-0.06,0.7573
PTGR2,-0.21,0.4464
PLEKHO2,0.04,0.8324
CNOT7,-0.32,0.0107
EXOC2,-0.30,0.1670
EXOC3,-0.12,0.5720
EXOC1,0.32,0.0907
EXOC7,-0.02,0.9198
EXOC4,0.08,0.6137
EXOC5,-0.39,0.0356
HEXA,0.11,0.4519
CA2,0.47,0.0610
EXOC8,-0.29,0.1867
TRIM4,-0.19,0.3196
ACBD3,-0.27,0.1593
ANK1,0.55,0.0168
ABLIM1,0.34,0.0214
BZW1,-0.50,0.0111
EEF2,0.13,0.3979
FUT8,-0.18,0.2696
DAB2,-0.11,0.6231
TMEM33,-0.23,0.2129
USP22,0.19,0.1175
ARHGEF6,-0.12,0.3076
ARHGEF7,-0.11,0.3916
ARHGEF2,0.28,0.0052
ARHGEF1,0.30,0.0460
SYTL4,0.39,0.0956
EEFSEC,0.07,0.7061
URB1,0.48,0.0520
EIF2B5,-0.13,0.5670
CENPB,-0.36,0.1358
TEX10,-0.28,0.0227
SEC24D,-0.26,0.2344
PEX11B,0.06,0.7607
SEC24A,-0.13,0.6294
SEC24C,-0.08,0.4889
EIF2B1,0.05,0.6651
PAFAH1B1,-0.42,0.0208
PAFAH1B3,0.24,0.0667
PDXDC1,-0.01,0.9639
SCARB2,-0.18,0.2739
AZU1,0.51,0.0037
PLEKHA5,-0.38,0.0806
MRPL47,-0.08,0.6124
MRPL44,-0.18,0.2478
MRPL49,0.27,0.1606
PPA2,-0.21,0.1928
ERAP2,-0.24,0.3712
ERAP1,0.09,0.6218
DHX38,0.33,0.1125
DHX30,0.21,0.1459
DHX36,-0.29,0.1865
DHX37,0.20,0.2949
COPZ1,-0.27,0.0684
MPHOSPH8,-0.06,0.6880
RUVBL2,0.13,0.2269
ADAR,0.26,0.1632
U2AF2,0.21,0.3008
MPHOSPH6,-0.38,0.0222
FAM129A,-0.02,0.9066
ZNF768,0.22,0.3007
FOCAD,0.13,0.5066
FAM129B,0.31,0.2249
TXNRD2,0.41,0.0166
COX6C,-0.20,0.1906
ZNF185,0.37,0.1606
RNPS1,0.01,0.9344
COASY,0.26,0.0253
CCDC6,-0.09,0.6047
ZNF22,-0.06,0.6766
BLVRB,0.42,0.0012
COX7A2,-0.15,0.2824
SUPT6H,0.49,0.0170
PROSC,-0.11,0.4198
NUDCD2,-0.23,0.0833
CCDC47,0.03,0.8625
TCERG1,-0.16,0.3170
HMGN5,-0.16,0.3601
TRADD,0.30,0.1014
ADSL,0.04,0.7856
TIMMDC1,0.18,0.2227
MYH9,0.02,0.8940
FBXO22,-0.34,0.0839
NAE1,-0.22,0.2714
PUS7,-0.41,0.0887
GNB1,-0.16,0.3407
RAB6A,-0.21,0.1862
NUDT12,-0.09,0.7430
AGAP2,0.46,0.0481
C11orf84,0.30,0.2664
ZW10,-0.13,0.5206
TSPO,0.15,0.2354
CNNM3,0.10,0.6231
RTCB,0.03,0.7968
RTCA,-0.07,0.7267
STX5,0.03,0.8841
STX4,0.20,0.1990
TRAM1,-0.47,0.0011
POLR1D,0.02,0.9089
PHF14,-0.24,0.2102
TGFB1,0.37,0.1653
IQGAP2,-0.20,0.2434
YWHAZ,-0.41,0.0008
HDGFRP3,-0.35,0.1242
NOP58,-0.15,0.3030
PITHD1,-0.16,0.3549
NOP56,0.01,0.9425
YWHAH,-0.16,0.3947
RPE,-0.45,0.0441
YWHAB,-0.23,0.0398
YWHAE,-0.21,0.0901
PHYKPL,0.17,0.2575
MAT2A,-0.03,0.8382
ATAD3A,0.38,0.0420
MAT2B,-0.33,0.0369
TXLNA,0.03,0.8147
NDUFS8,0.21,0.0960
BMS1,-0.10,0.5363
CASC4,-0.11,0.3343
VAMP4,-0.43,0.0863
VAMP7,-0.45,0.0170
ABI2,-0.37,0.0461
VPS16,0.41,0.0053
ABI1,-0.42,0.0087
CSTF1,-0.05,0.7627
FIBP,0.08,0.5574
CSTF3,-0.05,0.7894
CSTF2,-0.23,0.1846
CUL4A,-0.13,0.4231
NKTR,-0.13,0.4729
IMMT,0.20,0.0797
TRAPPC2L,0.22,0.1286
ACADVL,0.24,0.0236
C1orf123,-0.09,0.5098
NDUFB9,-0.01,0.9615
NDUFB8,-0.11,0.2863
NDUFB7,0.11,0.3320
NDUFB6,-0.41,0.0006
NDUFB5,-0.35,0.0355
NDUFB4,-0.22,0.0780
NDUFB3,-0.11,0.4820
FCHO1,0.06,0.7509
KIF2A,-0.37,0.0180
PECAM1,0.10,0.4422
SUGT1,-0.26,0.2036
FMNL1,0.16,0.4754
CBFA2T3,0.32,0.0715
ATP6AP2,-0.20,0.2263
IRF2BP1,-0.13,0.6167
ZC3HAV1,-0.16,0.2898
MAPRE2,0.10,0.4015
ANKRD44,-0.43,0.0113
AUP1,0.16,0.2071
VRK1,-0.55,0.0034
CRYL1,0.11,0.5025
WDR11,0.04,0.7841
IRF2BPL,0.18,0.4742
USP39,-0.12,0.3252
SHMT2,0.01,0.9563
RBBP9,-0.27,0.2990
PLD3,0.46,0.0165
PPFIBP1,-0.34,0.1544
RBBP4,-0.18,0.1929
RUNX1,-0.25,0.1501
SARNP,0.19,0.0763
FRA10AC1,-0.46,0.0250
RBX1,-0.01,0.9742
GBF1,0.27,0.1402
RNF213,0.34,0.1369
DDI2,0.38,0.1241
RRP8,0.27,0.2864
RRP9,0.05,0.6481
MED23,0.21,0.2597
DOCK1,0.10,0.5940
MED24,0.32,0.0358
5-Sep,0.15,0.2934
PITPNA,0.00,0.9935
PITPNB,-0.09,0.5250
KANSL3,0.07,0.7404
MFF,-0.08,0.4959
NARS,-0.10,0.5463
JUP,0.41,0.0212
YARS,0.15,0.3415
TROVE2,-0.06,0.6664
RBM39,-0.09,0.3769
FAM98B,-0.40,0.1146
GSPT1,-0.34,0.0369
SEC13,0.03,0.8344
PARP1,0.10,0.4271
BCCIP,-0.21,0.1250
SENP1,0.18,0.3805
DDX60,-0.42,0.0490
LMNB2,0.10,0.5164
LMNB1,-0.29,0.1143
CAAP1,-0.09,0.6334
MRPS26,-0.10,0.5489
AAMDC,0.12,0.4768
MRPS25,0.32,0.0014
MRPS22,-0.30,0.1008
MRPS23,-0.21,0.1442
MRPS21,0.11,0.3779
PHF8,0.45,0.0101
ZNF148,-0.37,0.0362
PHF6,-0.30,0.0632
PHF2,0.03,0.9075
LAMTOR2,0.10,0.3620
RPP38,0.22,0.2246
CCDC88C,-0.01,0.9636
EARS2,0.07,0.7408
RPP30,-0.44,0.0093
H2AFY2,0.36,0.1809
NAMPT,-0.13,0.5127
TRRAP,0.00,0.9883
FBXO7,0.19,0.0994
A2M,-0.19,0.4833
STRN4,0.04,0.8110
OPTN,0.14,0.5269
STRN3,-0.49,0.0252
THOP1,0.24,0.1220
VARS2,0.10,0.6333
FHL1,0.24,0.2564
FTO,0.08,0.6836
DCXR,0.10,0.4347
FTH1,0.29,0.0265
TCEB1,-0.24,0.1210
UGGT1,0.05,0.7518
BSPRY,0.16,0.4090
RPS24,0.14,0.3808
RPS25,0.14,0.3843
ACACA,0.19,0.3354
RPS20,0.16,0.2972
PHC2,-0.10,0.6182
SLFN11,-0.18,0.2498
RPS28,0.37,0.0927
RPS29,0.06,0.7539
UCHL5,-0.13,0.3956
ATRX,-0.39,0.0117
PAWR,0.00,0.9856
UCHL1,0.57,0.0243
MEMO1,-0.06,0.7171
ATL2,-0.47,0.0132
PREB,0.09,0.5075
PPIG,-0.34,0.0128
PPID,-0.25,0.2036
PPIB,-0.12,0.3782
PPIA,-0.07,0.5523
GPSM1,0.06,0.7793
CYFIP1,0.31,0.0298
SNTB1,0.00,0.9893
DIP2B,-0.10,0.6742
AIMP2,0.30,0.0390
CORO1B,0.11,0.4496
CORO1C,-0.20,0.1859
MDH2,0.13,0.2151
MDH1,-0.26,0.0707
SCAMP2,0.02,0.8281
PIN4,-0.57,0.0000
THUMPD1,-0.07,0.6478
THUMPD3,-0.58,0.0030
WASF2,-0.20,0.1623
LHPP,-0.11,0.4661
STAM2,-0.51,0.0191
MLLT1,0.16,0.5170
NUP188,0.18,0.3384
VPS33B,0.00,0.9960
FAH,0.08,0.6078
THEMIS2,0.40,0.0554
COPG2,-0.19,0.4070
HNRNPA2B1,-0.41,0.0028
COPG1,-0.08,0.5636
ZCCHC3,-0.20,0.2930
NBAS,0.04,0.7770
GPX4,0.22,0.0891
ZNHIT2,0.19,0.3298
C17orf62,0.06,0.5096
KRT10,0.09,0.6250
GTPBP6,0.23,0.1171
GTPBP1,0.00,0.9903
PPP6R3,-0.06,0.6471
PPP6R1,0.19,0.2258
LZIC,-0.53,0.0229
CASP7,0.31,0.2401
CASP4,0.12,0.3887
BPNT1,-0.18,0.3753
RAVER2,-0.44,0.0320
CASP8,-0.09,0.5348
PURB,-0.60,0.0073
PURA,-0.25,0.2556
EPM2AIP1,-0.04,0.8454
HECTD3,0.27,0.0444
ADPRHL2,0.49,0.0102
DARS,-0.21,0.0609
LYPLA1,-0.35,0.0271
LYPLA2,0.09,0.4537
QTRT1,0.37,0.0119
CCS,0.24,0.0790
GLRX3,-0.15,0.3509
AKT1,0.01,0.9472
AKT2,0.36,0.0426
PIH1D1,0.05,0.7314
NOSIP,0.28,0.0270
AHCYL1,-0.13,0.5596
CAPN7,-0.02,0.9132
OAS3,0.16,0.4106
FLII,0.09,0.4468
CAPN2,-0.43,0.0272
CAPN1,0.12,0.3591
PIR,0.24,0.3795
11-Sep,-0.30,0.0447
RALGAPA2,-0.08,0.6883
COG6,-0.40,0.0199
COG5,0.15,0.3795
SERPINB9,-0.32,0.0980
RAE1,-0.06,0.6824
TRMT1L,-0.20,0.2594
SERPINB6,0.10,0.4771
SPTA1,0.32,0.1696
PTMA,-0.08,0.4514
NFS1,0.28,0.1372
MSTO1,-0.19,0.3784
ELP6,-0.14,0.3455
ELP2,-0.35,0.0118
ANKRD54,0.66,0.0000
METAP2,-0.71,0.0017
AKR1A1,0.17,0.1762
SPRYD4,-0.17,0.2805
PPIP5K2,-0.48,0.0002
DCTN1,0.00,0.9872
HDDC2,0.04,0.7755
CMAS,-0.46,0.0304
RUFY1,0.44,0.0600
GUCY1A3,0.02,0.9037
LANCL1,-0.34,0.0223
RNF220,0.07,0.6689
NPEPPS,0.07,0.6332
AMT,0.34,0.0111
SIRT3,0.27,0.1587
ODF2,0.07,0.6606
NDUFV2,-0.12,0.2670
NCOA1,-0.07,0.7597
PLEC,0.08,0.7443
GBAS,-0.46,0.0011
IVD,0.10,0.5019
NLE1,-0.02,0.9076
PEX6,-0.13,0.5666
RBM22,-0.10,0.5000
FNBP1,0.12,0.5213
NCF4,0.41,0.0705
SRSF4,0.05,0.7008
STAMBP,-0.08,0.5823
APOOL,-0.22,0.2884
ATP5O,0.03,0.7979
ME3,0.04,0.8039
HNRNPH2,0.20,0.4453
GNAI2,-0.08,0.6093
TBK1,-0.04,0.8710
MRPS31,-0.29,0.0572
MRPS30,-0.04,0.7991
MRPS33,0.07,0.7169
TRMT6,0.21,0.2827
TRMT5,-0.52,0.0139
ABHD16A,0.20,0.1298
DAGLB,0.02,0.8708
PFDN4,-0.20,0.2357
SNUPN,-0.17,0.2435
UNC13D,0.33,0.0880
SYNE1,-0.17,0.4274
MNAT1,-0.47,0.0101
GOPC,-0.51,0.0144
STOML2,0.06,0.5985
RIN3,0.32,0.0764
RPS13,0.13,0.3049
CLPX,-0.15,0.3934
RPS11,0.19,0.2342
RPS17,0.14,0.3712
RPS14,0.12,0.4248
TMSB4X,-0.38,0.0035
ROCK2,-0.43,0.0295
CCDC22,0.09,0.5862
CCDC25,-0.14,0.3448
ZNF687,0.19,0.3308
DCAF13,-0.12,0.4637
RIPK2,-0.26,0.1871
VPS11,-0.12,0.4530
TXN,-0.10,0.4759
GCLM,-0.15,0.5139
AVL9,0.10,0.6061
WARS2,-0.05,0.8000
GCLC,-0.07,0.7376
UBQLN4,0.02,0.9324
TRMT10C,-0.36,0.0245
TF,-0.20,0.1346
BCKDHB,-0.10,0.5629
TSSC4,0.12,0.4276
TFAM,-0.18,0.2512
TXNL1,-0.09,0.4668
MAP7D3,-0.14,0.3532
TMX1,-0.46,0.0045
TMX3,-0.57,0.0010
NAGA,-0.28,0.0604
FAM96B,0.20,0.1425
NAGK,-0.10,0.5750
ACTN4,0.03,0.7859
CLP1,0.15,0.4928
PRPF38B,-0.26,0.0471
PTPRC,-0.32,0.0511
FAM175A,-0.05,0.7952
STK10,-0.06,0.6647
FKBP4,0.27,0.0262
RARS2,-0.20,0.2326
SEC23IP,-0.19,0.3320
FKBP8,0.22,0.1722
GAPVD1,-0.19,0.2589
TCEB2,0.17,0.2668
PCCB,0.21,0.1408
C14orf159,0.37,0.0180
HEBP1,0.00,0.9753
HEBP2,-0.11,0.5266
HBS1L,0.01,0.9334
VAC14,0.46,0.0590
IRAK4,-0.45,0.0585
WDR7,-0.08,0.6893
WDR5,-0.09,0.6297
PCCA,0.23,0.2438
MAN2C1,0.43,0.0084
DIAPH1,0.19,0.2769
WDR1,0.10,0.5032
WIPI2,-0.02,0.9154
LRRC16A,0.11,0.6838
APRT,0.10,0.5113
MON2,-0.17,0.2362
SMARCD1,-0.28,0.0672
PNPO,0.11,0.5092
C19orf52,0.18,0.3731
L2HGDH,0.40,0.0912
SNAP23,-0.23,0.2110
GRB10,0.11,0.6259
CSRP1,0.01,0.9261
HSD17B12,-0.74,0.0001
HSD17B10,-0.05,0.6911
HSD17B11,-0.07,0.6937
ATP6V1A,-0.14,0.3593
HMGN1,-0.50,0.0003
ALB,0.05,0.6122
RPS27A,-0.05,0.6960
ATP6V1H,-0.48,0.0290
UROS,0.15,0.2786
PUM1,0.02,0.8823
SFXN3,0.34,0.1039
SFXN1,0.07,0.6907
UROD,0.31,0.0019
SERPINE2,0.59,0.0018
CCT8,-0.30,0.0217
TFEC,-0.03,0.8481
CCT2,-0.21,0.0559
CCT3,0.16,0.1970
CCT7,0.00,0.9750
CCT4,-0.07,0.5362
CCT5,-0.09,0.4939
EFTUD2,0.13,0.2707
EFTUD1,-0.16,0.4247
ISG15,0.25,0.1952
TIMM13,0.25,0.0689
DMAP1,-0.04,0.8462
PCYOX1L,-0.12,0.5652
PDLIM7,0.20,0.1096
GDI2,-0.22,0.1068
GDI1,-0.06,0.7473
MCCC2,-0.01,0.9224
MCCC1,0.21,0.2121
PLXNC1,-0.06,0.7438
PSAP,0.11,0.3819
GPX1,0.02,0.8984
KRT16,,
WDR37,-0.01,0.9755
WDR36,-0.45,0.0025
ANPEP,0.47,0.0267
WDR33,-0.02,0.8765
MYBBP1A,-0.05,0.7931
FNTA,-0.31,0.0701
POLG,0.36,0.0103
XIAP,0.05,0.8377
PRKCSH,0.04,0.7912
SLC4A1,-0.81,0.0031
POLB,-0.13,0.4893
DCTN2,-0.02,0.8671
DCTN3,0.02,0.9036
TRIM56,-0.17,0.4487
DCTN6,-0.24,0.1259
DCTN4,0.06,0.7296
DCTN5,-0.25,0.1438
BRIX1,-0.19,0.2357
NDUFV1,0.18,0.0866
ASPH,0.14,0.4081
RBM12,-0.28,0.0058
RBM17,-0.03,0.7933
TM9SF2,-0.34,0.0206
RBM19,-0.06,0.7056
GGH,-0.32,0.0938
TAF7,-0.21,0.1606
PSMD6,-0.25,0.0972
BROX,-0.42,0.0264
NAT1,0.23,0.3964
CYP20A1,-0.29,0.0867
ALDH9A1,0.07,0.5572
BPHL,-0.12,0.5981
CUL5,0.00,0.9836
UBE2V2,-0.60,0.0014
CMBL,0.08,0.5982
SUCLA2,-0.63,0.0009
ATP6V1E1,-0.11,0.4054
ATP5L,-0.09,0.4952
MARS,0.09,0.4975
RFT1,-0.12,0.4324
TUBGCP2,0.09,0.5537
TUBGCP3,0.00,0.9895
TUBGCP6,0.38,0.0521
PSMD8,0.13,0.2719
COX5B,-0.04,0.7838
PSMD5,-0.39,0.0921
TOM1,0.22,0.2188
FLAD1,0.16,0.0974
PSMD1,-0.12,0.3968
PSMD3,0.15,0.2913
CPSF4,0.02,0.9182
CPSF3,-0.03,0.7640
CPSF2,-0.19,0.1722
RPTOR,0.21,0.3601
EPS15,-0.35,0.0203
QKI,-0.54,0.0135
PPFIA1,0.00,0.9918
TMEM41B,-0.46,0.0116
HSD17B8,-0.15,0.4486
TRIM24,-0.32,0.0833
HSD17B4,-0.14,0.3056
ARIH1,-0.17,0.3873
RTN4,-0.27,0.1190
HGS,-0.05,0.7071
TRIM22,-0.08,0.7313
LCP2,-0.29,0.0390
PLA2G4A,-0.12,0.5902
COPS7A,-0.16,0.1680
CRAT,0.11,0.5773
LRWD1,-0.16,0.4848
KIF13A,0.44,0.0575
KIF13B,0.04,0.8127
SUPV3L1,0.19,0.3921
PRCP,-0.04,0.7877
TRMT112,0.16,0.3288
GNPDA1,-0.39,0.0599
REXO2,0.22,0.1864
ARAF,0.01,0.9222
RAD23B,-0.15,0.3598
KIAA1429,-0.14,0.3983
SLC25A13,0.27,0.2291
SLC25A12,-0.25,0.2786
SLC25A11,0.12,0.2663
SLC25A10,0.53,0.0327
PEBP1,-0.02,0.8555
LBR,-0.38,0.0061
C21orf33,0.35,0.0321
SLC12A6,-0.22,0.2629
NDUFA10,0.21,0.1935
CCDC12,0.12,0.2345
NDUFA13,0.01,0.9289
SPIN1,-0.18,0.1505
METTL7A,-0.51,0.0028
KAT8,0.50,0.0044
PLBD2,0.22,0.4004
ACIN1,0.17,0.1773
ATP1B1,0.13,0.5161
UTP14A,-0.03,0.7909
ISYNA1,0.38,0.0101
PSMC2,-0.10,0.4382
HPSE,-0.45,
SYNCRIP,-0.42,0.0005
IAH1,0.03,0.8570
APOL3,0.12,0.5514
PSMC5,-0.05,0.7428
ALDH5A1,-0.09,0.5732
OSBP,-0.25,0.2185
DDAH1,-0.22,0.4235
DDAH2,0.23,0.1206
SNX3,-0.12,0.3719
SNX2,-0.30,0.0991
CYB5R4,-0.24,0.2045
CYB5R3,0.08,0.5864
SNX6,-0.31,0.0587
SNX5,-0.17,0.1584
SPTAN1,-0.04,0.8127
CRELD1,0.44,0.0158
SUDS3,-0.17,0.3019
SMARCE1,-0.23,0.1193
RNGTT,-0.67,0.0024
STAM,-0.17,0.3743
CCDC127,-0.20,0.3283
KHSRP,-0.03,0.8950
DERL1,-0.32,0.0265
STK24,0.00,0.9933
MGEA5,0.13,0.4189
PHKG2,0.11,0.5013
RAD54L2,0.26,0.1402
CSK,-0.16,0.3268
CNOT11,-0.10,0.6851
GUCY1B3,0.09,0.6617
DAP3,0.04,0.7687
DLAT,-0.52,0.0057
EIF4E,-0.39,0.0137
TELO2,0.40,0.0192
