EnsemblID,GeneSym,baseMean,log2FoldChange,lfcSE,WaldStat,pvalue,padj
ENSG00000023892.9,DEF6,4449.357588,0.170909468,0.131630979,1.298398511,0.19415043,0.444101637
ENSG00000023902.9,PLEKHO1,2653.041327,-1.106288068,0.285666731,-3.872652802,0.000107657,0.003689533
ENSG00000023909.5,GCLM,450.1968799,0.140180102,0.256620655,0.546254165,0.584891238,0.790820854
ENSG00000024048.6,UBR2,3844.705037,0.770041886,0.188928528,4.075837001,4.58E-05,0.001884463
ENSG00000024422.7,EHD2,2567.969095,0.360816363,0.259568524,1.39006208,0.164510027,0.404321894
ENSG00000024526.12,DEPDC1,71.61157079,-0.019899632,0.388395551,-0.051235479,0.959137881,NA
ENSG00000024862.12,CCDC28A,430.1041235,-0.312093772,0.277090601,-1.126323918,0.260028437,0.520810067
ENSG00000025039.10,RRAGD,1344.493023,0.129259323,0.158925638,0.813332098,0.416027679,0.664744354
ENSG00000025156.8,HSF2,828.4417508,-0.442066803,0.279003635,-1.584448182,0.113091765,0.323610929
ENSG00000025293.11,PHF20,2667.197886,-0.428752642,0.137280132,-3.123195154,0.001788991,0.02360223
ENSG00000025423.7,HSD17B6,19.45142801,0.036625179,0.308821222,0.118596705,0.905594876,NA
ENSG00000025434.14,NR1H3,999.8470903,0.405664283,0.276874752,1.465154476,0.142878777,0.372238479
ENSG00000025708.8,TYMP,66.8865328,0.428526672,0.424218402,1.010155782,0.312420661,NA
ENSG00000025770.14,NCAPH2,988.383357,-0.412585878,0.200278697,-2.060058727,0.039392927,0.172334892
ENSG00000025772.7,TOMM34,714.4533045,-0.291992179,0.198714338,-1.469406698,0.141722512,0.370210694
ENSG00000025796.9,SEC63,3069.473549,-0.29049953,0.205667501,-1.412471722,0.157811111,0.396382396
ENSG00000025800.9,KPNA6,2748.512518,-0.366549835,0.175969968,-2.083024961,0.037248948,0.166677346
ENSG00000026025.9,VIM,39058.05874,-1.083409627,0.18903454,-5.731278687,9.97E-09,4.04E-06
ENSG00000026036.16,RTEL1-TNFRSF6B,89.87179818,0.324778219,0.430097385,0.755127166,0.450172685,NA
ENSG00000026103.15,FAS,110.4855777,0.148593586,0.422537753,0.351669371,0.725086233,NA
ENSG00000026297.11,RNASET2,882.8448584,-0.489182361,0.336592998,-1.453334929,0.146130784,0.377780375
ENSG00000026508.12,CD44,22351.84985,-0.170666695,0.158256664,-1.078417115,0.280847653,0.542006921
ENSG00000026559.9,KCNG1,0,NA,NA,NA,NA,NA
ENSG00000026652.9,AGPAT4,846.0880408,0.559878602,0.239470302,2.337987623,0.01938789,0.110498635
ENSG00000026751.12,SLAMF7,0.091759258,-0.026558017,0.217824987,-0.121923647,0.902959487,NA
ENSG00000026950.12,BTN3A1,1747.830999,0.451509302,0.213407955,2.115709802,0.034369496,0.158596712
ENSG00000027001.7,MIPEP,243.3326564,0.226231948,0.307749188,0.735117937,0.462267671,0.701427194
ENSG00000027075.9,PRKCH,3100.171409,-0.671277554,0.21296777,-3.152014752,0.001621481,0.021959109
ENSG00000027644.4,INSRR,0,NA,NA,NA,NA,NA
ENSG00000027697.8,IFNGR1,644.4191493,0.059715584,0.310300206,0.192444551,0.847393998,0.93664401
ENSG00000027847.9,B4GALT7,496.8530631,-0.339894734,0.24715936,-1.375204781,0.169067966,0.410514659
ENSG00000027869.7,SH2D2A,62.73778671,-0.344389196,0.386711452,-0.890558565,0.373166037,NA
ENSG00000028116.12,VRK2,866.4552968,-0.124242557,0.255281758,-0.486687958,0.626479481,0.814360975
ENSG00000028137.12,TNFRSF1B,565.3705784,-0.612081606,0.288247047,-2.123461844,0.03371517,0.156799786
ENSG00000028203.13,VEZT,2167.34959,-0.445037244,0.222641607,-1.99889522,0.045619692,0.188511765
ENSG00000028277.16,POU2F2,1001.513627,0.045788479,0.24127483,0.189777272,0.849483667,0.936808636
ENSG00000028310.13,BRD9,2233.0334,-0.640352901,0.187041352,-3.423589997,0.000617998,0.011210748
ENSG00000028528.10,SNX1,2717.890551,0.169591484,0.138662763,1.223049942,0.221310834,0.479452424
ENSG00000028839.5,TBPL1,304.4356704,-0.122441612,0.286944266,-0.426708692,0.669591519,0.840973405
ENSG00000029153.10,ARNTL2,352.7358367,-0.43408736,0.328462289,-1.321574422,0.186309905,0.433677809
ENSG00000029363.11,BCLAF1,11227.31076,-0.830911463,0.196681104,-4.224663399,2.39E-05,0.001207275
ENSG00000029364.7,SLC39A9,1738.290446,-0.064145417,0.1992699,-0.321902189,0.747526795,0.885845511
ENSG00000029534.15,ANK1,99.89511587,-0.10159172,0.421545658,-0.240998142,0.809556557,NA
ENSG00000029559.5,IBSP,0,NA,NA,NA,NA,NA
ENSG00000029639.6,TFB1M,263.1108219,0.863125794,0.353355398,2.442656316,0.014579614,0.092541449
ENSG00000029725.12,RABEP1,2815.987943,0.565876106,0.15368935,3.681947429,0.000231459,0.006114162
ENSG00000029993.10,HMGB3,817.3447034,-0.761694899,0.282131941,-2.699782576,0.00693848,0.05703625
ENSG00000030066.9,NUP160,1849.674491,0.449047799,0.187411405,2.39605375,0.01657266,0.100418359
ENSG00000030110.8,BAK1,356.6553711,0.197186272,0.328309874,0.600610241,0.548099615,0.765615607
ENSG00000030304.8,MUSK,0,NA,NA,NA,NA,NA
ENSG00000030419.12,IKZF2,1532.948004,0.469405489,0.287190701,1.634473147,0.10215954,0.304252697
ENSG00000030582.12,GRN,1822.969441,0.25750426,0.201395399,1.278600514,0.201037769,0.453589054
ENSG00000031003.6,FAM13B,3621.803434,-0.366610927,0.182635879,-2.007332455,0.044714276,0.186587477
ENSG00000031081.6,ARHGAP31,908.8287419,0.392321105,0.274897614,1.427153548,0.15353564,0.389707569
ENSG00000031544.10,NR2E3,1.644610617,0.272374018,0.250658592,1.08663348,NA,NA
ENSG00000031691.6,CENPQ,115.7648527,0.454727747,0.430228719,1.056944195,0.290537057,0.55200632
ENSG00000031698.8,SARS,1038.385113,0.823320342,0.24396665,3.374724953,0.000738895,0.012569769
ENSG00000031823.10,RANBP3,2563.984292,-0.276119688,0.17231827,-1.602381966,0.10907117,0.315873764
ENSG00000032219.14,ARID4A,2955.741758,-0.468786573,0.255359393,-1.835791378,0.066388517,0.236085955
ENSG00000032389.8,TSSC1,590.0834145,0.744738143,0.326694725,2.279614837,0.022630542,0.122028451
ENSG00000032444.11,PNPLA6,2021.984694,0.045655222,0.167568822,0.272456544,0.785271001,0.904503985
ENSG00000032742.13,IFT88,574.5855607,-0.11624964,0.237193082,-0.490105524,0.62405923,0.813103108
