gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
TMEM107,98.8742752345401,0.847263194600053,0.28730177848673,9.48223543256645e-05,0.013439020094551
DNAJB1,168.75472530344,0.841402518730368,0.278419301561527,9.38067358492594e-05,0.013439020094551
SRP19,103.384880159925,-0.733754344282682,0.242330627270381,9.74088273251361e-05,0.0136372358255191
KRIT1,77.5790851725142,0.657963308345176,0.236125533541874,0.000101118069711527,0.0139859691601004
CAPZA1,521.889869108007,-0.467670076363915,0.144078947620771,0.000104370044066386,0.0142639060224061
DNTT,25.6766545684812,-1.47325437108234,0.63707473051668,0.000115532559000668,0.0156036914979726
TRIM56,177.3248760775,0.651451315110861,0.217458614063955,0.000119825235482408,0.015899905537691
ZNF688,23.4529660633524,1.21917865846596,0.669596692095278,0.000120495799806543,0.015899905537691
PTGS2,140.473152622563,1.46756695156298,0.51455027396286,0.000124476429176378,0.0161327412311128
SERTAD1,62.0043733505542,1.68197530485909,0.636503226611686,0.000125070903272564,0.0161327412311128
VPREB1,14.2810011791144,-2.03990337099106,0.724725380933283,0.000128492186058795,0.0163898921772774
PAG1,55.9157700506444,-1.51738041782316,0.556743478819693,0.000133597840511688,0.0168538814183975
MX2,55.6557849159058,1.26268379070837,0.547847959493349,0.000135558322475026,0.0169153211088403
CLU,318.777818614753,0.756691838534238,0.252584215155981,0.000137640150898386,0.0169904186270265
ARHGAP29,26.4542263619617,-0.106369378880179,0.220203514767826,0.000140620668119017,0.0171736730851736
CD69,484.610422884627,1.14541544843593,0.42080840808432,0.000146582186032187,0.0177132999542053
RNF220,491.193019111018,0.545062450740079,0.179265706073216,0.000149742833936505,0.0177221415834132
PSMD9,57.9429381607847,-0.766355356121431,0.271192376045124,0.000148866101512839,0.0177221415834132
KLHL6,102.451804354211,0.620109738919379,0.215159841852367,0.000151936883372339,0.0177983206236168
SAAL1,57.8446459393554,-0.874359267358308,0.29439073520897,0.00015865669062981,0.0183977657417194
ADK,193.309104869413,-0.651510899974673,0.216645674964656,0.000165217563920098,0.0189669763380272
CACHD1,27.7004121600699,1.61321174771366,0.728440716571208,0.000168463477954458,0.0190269744288226
BTG2,208.606357275742,0.963813791457834,0.351499391200359,0.00016905499928048,0.0190269744288226
PLK3,24.6774302063934,1.31461193225573,0.50977606045707,0.000175034439845445,0.019321109321401
PSMC3IP,10.3493325500346,-0.120118316759682,0.237778676237071,0.000173449974961949,0.019321109321401
ATP10A,16.4182903316547,-0.0827003918766092,0.197570994793682,0.000176981984959153,0.0193500303555341
WDR3,62.3083565480719,-0.77440665490079,0.26288119175165,0.000178727319661042,0.0193565059406487
FAM133A,38.8793582817981,0.913618189996258,0.316950249281022,0.000182834085581919,0.0194479922118062
SGPP1,17.262885390288,-0.174725835288193,0.346060121450381,0.000182960205476923,0.0194479922118062
RHOB,27.0246200925728,1.26777224282036,0.518054076416373,0.000192189914991507,0.0198698698910903
FBLN5,18.2771203097583,-0.1061490477502,0.219892107348705,0.000193852389181369,0.0198698698910903
CST3,227.559450122855,0.768868922759793,0.280058105492739,0.000191907300467431,0.0198698698910903
MIDN,65.2802408828386,0.779636415605591,0.265681859694226,0.000189699641555683,0.0198698698910903
ZMAT3,28.3651928425828,1.25146409926598,0.552470574998044,0.000196026344473504,0.019914888801379
CD151,54.8828844704274,0.890201168419157,0.330817880192759,0.000209058392642944,0.0210525469082544
HSPA4L,82.5060389317258,0.668241306699937,0.232706080838185,0.000213232420334209,0.0212861581342324
ANK3,125.383558931248,-0.941609009826823,0.353482175318093,0.000219452564033654,0.0217182365095375
SRSF7,565.203041360919,0.408480943322483,0.132197720035016,0.000226608710305992,0.0218747211810789
CHST10,17.1517523333931,1.33673255679799,0.844730468153365,0.00022865562210187,0.0218747211810789
ETV1,21.8994285515286,0.121241485555089,0.236473187641798,0.000226846177830232,0.0218747211810789
WFDC1,20.7904182988719,1.4553773132687,0.659734478509398,0.000227754481440692,0.0218747211810789
PHC1,67.3630948647494,0.756285393958077,0.273170236110092,0.000233583422507428,0.0221614685155808
POU2F2,109.481373001807,0.560501390271853,0.194241808413407,0.000245936746905198,0.0231422447087842
PPP1R10,124.15724069124,0.603919533734707,0.213865123164113,0.000255907503474093,0.0238847003242486
NPDC1,101.773322972774,0.945538560431987,0.358748749468256,0.000267027705543387,0.0245238244771046
KMT5C,23.3001720911241,1.16887740547098,0.722463492723506,0.000266317742816486,0.0245238244771046
KIF2C,9.08010060534726,-0.121102440536311,0.238681522247577,0.000271544935809344,0.024545951677884
LIMK1,21.3379522257904,1.10479472383324,0.604195559220462,0.000269948925014052,0.024545951677884
FAM43A,28.9406399343416,0.127031053165562,0.241063975654122,0.000274410375116955,0.0246111805183019
ZNF320,50.4358688268166,-1.12892211869365,0.604368859525742,0.000278018837619858,0.0247415213633796
C3orf38,55.4281608486605,-0.75939498934787,0.282907148211827,0.000292047810846017,0.0248348805074983
SNX24,13.9912648106791,0.0384714984438367,0.174005828372325,0.00029184232941027,0.0248348805074983
